I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault
8.16985 ,30.72247 ,8.16985 ,30.72247 ,-0.01019 ,0.00000 ,8.16985 ,30.72247 ,8.16985 ,30.72247 ,8.16985 ,30.72247 ,1 
8.16937 ,31.08372 ,8.16937 ,31.08372 ,-0.01019 ,0.00000 ,8.16937 ,31.08372 ,8.16937 ,31.08372 ,8.16937 ,31.08372 ,1 
8.16698 ,32.88964 ,8.16698 ,32.88964 ,-0.01020 ,0.00000 ,8.16698 ,32.88964 ,8.16698 ,32.88964 ,8.16698 ,32.88964 ,1 
8.16536 ,34.11425 ,8.16536 ,34.11425 ,-0.01020 ,0.00000 ,8.16536 ,34.11425 ,8.16536 ,34.11425 ,8.16536 ,34.11425 ,1 
8.16374 ,35.33863 ,8.16374 ,35.33863 ,-0.01020 ,0.00000 ,8.16374 ,35.33863 ,8.16374 ,35.33863 ,8.16374 ,35.33863 ,1 
8.15833 ,39.41812 ,8.15833 ,39.41812 ,-0.01020 ,0.00000 ,8.15833 ,39.41812 ,8.15833 ,39.41812 ,8.15833 ,39.41812 ,1 
8.15293 ,43.49491 ,8.15293 ,43.49491 ,-0.01019 ,0.00000 ,8.15293 ,43.49491 ,8.15293 ,43.49491 ,8.15293 ,43.49491 ,1 
8.14754 ,47.56900 ,8.14754 ,47.56900 ,-0.01019 ,0.00000 ,8.14754 ,47.56900 ,8.14754 ,47.56900 ,8.14754 ,47.56900 ,1 
8.14705 ,47.93554 ,8.14705 ,47.93554 ,-0.01019 ,0.00000 ,8.14705 ,47.93554 ,8.14705 ,47.93554 ,8.14705 ,47.93554 ,1 
8.14656 ,48.30205 ,8.14656 ,48.30205 ,-0.01019 ,0.00000 ,8.14656 ,48.30205 ,8.14656 ,48.30205 ,8.14656 ,48.30205 ,1 
8.14600 ,48.72756 ,8.14600 ,48.72756 ,-0.01019 ,0.00000 ,8.14600 ,48.72756 ,8.14600 ,48.72756 ,8.14600 ,48.72756 ,1 
8.14544 ,49.15303 ,8.14544 ,49.15303 ,-0.01019 ,0.00000 ,8.14544 ,49.15303 ,8.14544 ,49.15303 ,8.14544 ,49.15303 ,1 
8.14459 ,49.79118 ,8.14459 ,49.79118 ,-0.01019 ,0.00000 ,8.14459 ,49.79118 ,8.14459 ,49.79118 ,8.14459 ,49.79118 ,1 
8.14375 ,50.42927 ,8.14375 ,50.42927 ,-0.01019 ,0.00000 ,8.14375 ,50.42927 ,8.14375 ,50.42927 ,8.14375 ,50.42927 ,1 
8.14363 ,50.51541 ,8.14363 ,50.51541 ,-0.01018 ,0.00000 ,8.14363 ,50.51541 ,8.14363 ,50.51541 ,8.14363 ,50.51541 ,1 
8.14352 ,50.60154 ,8.14352 ,50.60154 ,-0.01018 ,0.00000 ,8.14352 ,50.60154 ,8.14352 ,50.60154 ,8.14352 ,50.60154 ,1 
8.14295 ,51.03221 ,8.14295 ,51.03221 ,-0.01018 ,0.00000 ,8.14295 ,51.03221 ,8.14295 ,51.03221 ,8.14295 ,51.03221 ,1 
8.14238 ,51.46284 ,8.14238 ,51.46284 ,-0.01018 ,0.00000 ,8.14238 ,51.46284 ,8.14238 ,51.46284 ,8.14238 ,51.46284 ,1 
8.13953 ,53.61553 ,8.13953 ,53.61553 ,-0.01018 ,0.00000 ,8.13953 ,53.61553 ,8.13953 ,53.61553 ,8.13953 ,53.61553 ,1 
8.13414 ,57.68293 ,8.13414 ,57.68293 ,-0.01017 ,0.00000 ,8.13414 ,57.68293 ,8.13414 ,57.68293 ,8.13414 ,57.68293 ,1 
8.12875 ,61.74762 ,8.12875 ,61.74762 ,-0.01017 ,0.00000 ,8.12875 ,61.74762 ,8.12875 ,61.74762 ,8.12875 ,61.74762 ,1 
8.12826 ,62.11332 ,8.12826 ,62.11332 ,-0.01017 ,0.00000 ,8.12826 ,62.11332 ,8.12826 ,62.11332 ,8.12826 ,62.11332 ,1 
8.12778 ,62.47898 ,8.12778 ,62.47898 ,-0.01017 ,0.00000 ,8.12778 ,62.47898 ,8.12778 ,62.47898 ,8.12778 ,62.47898 ,1 
8.12535 ,64.30700 ,8.12535 ,64.30700 ,-0.01016 ,0.00000 ,8.12535 ,64.30700 ,8.12535 ,64.30700 ,8.12535 ,64.30700 ,1 
8.12293 ,66.13447 ,8.12293 ,66.13447 ,-0.01016 ,0.00000 ,8.12293 ,66.13447 ,8.12293 ,66.13447 ,8.12293 ,66.13447 ,1 
8.12244 ,66.49990 ,8.12244 ,66.49990 ,-0.01016 ,0.00000 ,8.12244 ,66.49990 ,8.12244 ,66.49990 ,8.12244 ,66.49990 ,1 
8.12196 ,66.86531 ,8.12196 ,66.86531 ,-0.01016 ,0.00000 ,8.12196 ,66.86531 ,8.12196 ,66.86531 ,8.12196 ,66.86531 ,1 
8.11953 ,68.69202 ,8.11953 ,68.69202 ,-0.01016 ,0.00000 ,8.11953 ,68.69202 ,8.11953 ,68.69202 ,8.11953 ,68.69202 ,1 
8.11938 ,68.80160 ,8.11938 ,68.80160 ,-0.01016 ,0.00000 ,8.11938 ,68.80160 ,8.11938 ,68.80160 ,8.11938 ,68.80160 ,1 
8.11924 ,68.91119 ,8.11924 ,68.91119 ,-0.01015 ,0.00000 ,8.11924 ,68.91119 ,8.11924 ,68.91119 ,8.11924 ,68.91119 ,1 
8.11851 ,69.45907 ,8.11851 ,69.45907 ,-0.01015 ,0.00000 ,8.11851 ,69.45907 ,8.11851 ,69.45907 ,8.11851 ,69.45907 ,1 
8.11486 ,72.19776 ,8.11486 ,72.19776 ,-0.01015 ,0.00000 ,8.11486 ,72.19776 ,8.11486 ,72.19776 ,8.11486 ,72.19776 ,1 
8.10945 ,76.25282 ,8.10945 ,76.25282 ,-0.01014 ,0.00000 ,8.10945 ,76.25282 ,8.10945 ,76.25282 ,8.10945 ,76.25282 ,1 
8.10896 ,76.61764 ,8.10896 ,76.61764 ,-0.01014 ,0.00000 ,8.10896 ,76.61764 ,8.10896 ,76.61764 ,8.10896 ,76.61764 ,1 
8.10847 ,76.98244 ,8.10847 ,76.98244 ,-0.01014 ,0.00000 ,8.10847 ,76.98244 ,8.10847 ,76.98244 ,8.10847 ,76.98244 ,1 
8.10602 ,78.80612 ,8.10602 ,78.80612 ,-0.01014 ,0.00000 ,8.10602 ,78.80612 ,8.10602 ,78.80612 ,8.10602 ,78.80612 ,1 
8.10053 ,82.85673 ,8.10053 ,82.85673 ,-0.01013 ,0.00000 ,8.10053 ,82.85673 ,8.10053 ,82.85673 ,8.10053 ,82.85673 ,1 
8.09495 ,86.90459 ,8.09495 ,86.90459 ,-0.01012 ,0.00000 ,8.09495 ,86.90459 ,8.09495 ,86.90459 ,8.09495 ,86.90459 ,1 
8.09324 ,88.11840 ,8.09324 ,88.11840 ,-0.01012 ,0.00000 ,8.09324 ,88.11840 ,8.09324 ,88.11840 ,8.09324 ,88.11840 ,1 
8.09152 ,89.33195 ,8.09152 ,89.33195 ,-0.01012 ,0.00000 ,8.09152 ,89.33195 ,8.09152 ,89.33195 ,8.09152 ,89.33195 ,1 
8.08558 ,93.37521 ,8.08558 ,93.37521 ,-0.01011 ,0.00000 ,8.08558 ,93.37521 ,8.08558 ,93.37521 ,8.08558 ,93.37521 ,1 
8.08503 ,93.73896 ,8.08503 ,93.73896 ,-0.01011 ,0.00000 ,8.08503 ,93.73896 ,8.08503 ,93.73896 ,8.08503 ,93.73896 ,1 
8.08447 ,94.10268 ,8.08447 ,94.10268 ,-0.01011 ,0.00000 ,8.08447 ,94.10268 ,8.08447 ,94.10268 ,8.08447 ,94.10268 ,1 
8.08162 ,95.92091 ,8.08162 ,95.92091 ,-0.01011 ,0.00000 ,8.08162 ,95.92091 ,8.08162 ,95.92091 ,8.08162 ,95.92091 ,1 
8.07864 ,97.73849 ,8.07864 ,97.73849 ,-0.01011 ,0.00000 ,8.07864 ,97.73849 ,8.07864 ,97.73849 ,8.07864 ,97.73849 ,1 
8.07803 ,98.10192 ,8.07803 ,98.10192 ,-0.01010 ,0.00000 ,8.07803 ,98.10192 ,8.07803 ,98.10192 ,8.07803 ,98.10192 ,1 
8.07740 ,98.46532 ,8.07740 ,98.46532 ,-0.01010 ,0.00000 ,8.07740 ,98.46532 ,8.07740 ,98.46532 ,8.07740 ,98.46532 ,1 
8.07416 ,100.28192 ,8.07416 ,100.28192 ,-0.01010 ,0.00000 ,8.07416 ,100.28192 ,8.07416 ,100.28192 ,8.07416 ,100.28192 ,1 
8.06592 ,104.31596 ,8.06592 ,104.31596 ,-0.01009 ,0.00000 ,8.06592 ,104.31596 ,8.06592 ,104.31596 ,8.06592 ,104.31596 ,1 
8.06307 ,105.52533 ,8.06307 ,105.52533 ,-0.01009 ,0.00000 ,8.06307 ,105.52533 ,8.06307 ,105.52533 ,8.06307 ,105.52533 ,1 
8.05996 ,106.73425 ,8.05996 ,106.73425 ,-0.01009 ,0.00000 ,8.05996 ,106.73425 ,8.05996 ,106.73425 ,8.05996 ,106.73425 ,1 
8.04720 ,110.76012 ,8.04720 ,110.76012 ,-0.01007 ,0.00000 ,8.04720 ,110.76012 ,8.04720 ,110.76012 ,8.04720 ,110.76012 ,1 
8.02851 ,114.77818 ,8.02851 ,114.77818 ,-0.01006 ,0.00000 ,8.02851 ,114.77818 ,8.02851 ,114.77818 ,8.02851 ,114.77818 ,1 
7.99929 ,118.78439 ,7.99929 ,118.78439 ,-0.01003 ,0.00000 ,7.99929 ,118.78439 ,7.99929 ,118.78439 ,7.99929 ,118.78439 ,1 
7.99591 ,119.14419 ,7.99591 ,119.14419 ,-0.01003 ,0.00000 ,7.99591 ,119.14419 ,7.99591 ,119.14419 ,7.99591 ,119.14419 ,1 
7.99238 ,119.50384 ,7.99238 ,119.50384 ,-0.01003 ,0.00000 ,7.99238 ,119.50384 ,7.99238 ,119.50384 ,7.99238 ,119.50384 ,1 
7.98137 ,120.52938 ,7.98137 ,120.52938 ,-0.01002 ,0.00000 ,7.98137 ,120.52938 ,7.98137 ,120.52938 ,7.98137 ,120.52938 ,1 
7.96885 ,121.55341 ,7.96885 ,121.55341 ,-0.01001 ,0.00000 ,7.96885 ,121.55341 ,7.96885 ,121.55341 ,7.96885 ,121.55341 ,1 
7.96767 ,121.64335 ,7.96767 ,121.64335 ,-0.01001 ,0.00000 ,7.96767 ,121.64335 ,7.96767 ,121.64335 ,7.96767 ,121.64335 ,1 
7.96648 ,121.73328 ,7.96648 ,121.73328 ,-0.01001 ,0.00000 ,7.96648 ,121.73328 ,7.96648 ,121.73328 ,7.96648 ,121.73328 ,1 
7.96030 ,122.18273 ,7.96030 ,122.18273 ,-0.01000 ,0.00000 ,7.96030 ,122.18273 ,7.96030 ,122.18273 ,7.96030 ,122.18273 ,1 
7.92347 ,124.42402 ,7.92347 ,124.42402 ,-0.00997 ,0.00000 ,7.92347 ,124.42402 ,7.92347 ,124.42402 ,7.92347 ,124.42402 ,1 
7.89913 ,125.61042 ,7.89913 ,125.61042 ,-0.00996 ,0.00000 ,7.89913 ,125.61042 ,7.89913 ,125.61042 ,7.89913 ,125.61042 ,1 
7.87077 ,126.79286 ,7.87077 ,126.79286 ,-0.00993 ,0.00000 ,7.87077 ,126.79286 ,7.87077 ,126.79286 ,7.87077 ,126.79286 ,1 
7.86502 ,127.01166 ,7.86502 ,127.01166 ,-0.00993 ,0.00000 ,7.86502 ,127.01166 ,7.86502 ,127.01166 ,7.86502 ,127.01166 ,1 
7.85910 ,127.23029 ,7.85910 ,127.23029 ,-0.00992 ,0.00000 ,7.85910 ,127.23029 ,7.85910 ,127.23029 ,7.85910 ,127.23029 ,1 
7.82693 ,128.32085 ,7.82693 ,128.32085 ,-0.00990 ,0.00000 ,7.82693 ,128.32085 ,7.82693 ,128.32085 ,7.82693 ,128.32085 ,1 
7.78687 ,129.49159 ,7.78687 ,129.49159 ,-0.00987 ,0.00000 ,7.78687 ,129.49159 ,7.78687 ,129.49159 ,7.78687 ,129.49159 ,1 
7.74049 ,130.65584 ,7.74049 ,130.65584 ,-0.00983 ,0.00000 ,7.74049 ,130.65584 ,7.74049 ,130.65584 ,7.74049 ,130.65584 ,1 
7.68699 ,131.81260 ,7.68699 ,131.81260 ,-0.00979 ,0.00000 ,7.68699 ,131.81260 ,7.68699 ,131.81260 ,7.68699 ,131.81260 ,1 
7.62552 ,132.96074 ,7.62552 ,132.96074 ,-0.00974 ,0.00000 ,7.62552 ,132.96074 ,7.62552 ,132.96074 ,7.62552 ,132.96074 ,1 
7.35282 ,136.70647 ,7.35282 ,136.70647 ,-0.00952 ,0.00000 ,7.35282 ,136.70647 ,7.35282 ,136.70647 ,7.35282 ,136.70647 ,1 
7.24777 ,137.80118 ,7.24777 ,137.80118 ,-0.00944 ,0.00000 ,7.24777 ,137.80118 ,7.24777 ,137.80118 ,7.24777 ,137.80118 ,1 
7.13119 ,138.87927 ,7.13119 ,138.87927 ,-0.00934 ,0.00000 ,7.13119 ,138.87927 ,7.13119 ,138.87927 ,7.13119 ,138.87927 ,1 
7.00291 ,139.93900 ,7.00291 ,139.93900 ,-0.00923 ,0.00000 ,7.00291 ,139.93900 ,7.00291 ,139.93900 ,7.00291 ,139.93900 ,1 
6.86302 ,140.97860 ,6.86302 ,140.97860 ,-0.00911 ,0.00000 ,6.86302 ,140.97860 ,6.86302 ,140.97860 ,6.86302 ,140.97860 ,1 
6.31995 ,144.27528 ,6.31995 ,144.27528 ,-0.00861 ,0.00000 ,6.31995 ,144.27528 ,6.31995 ,144.27528 ,6.31995 ,144.27528 ,1 
6.13744 ,145.20918 ,6.13744 ,145.20918 ,-0.00843 ,0.00000 ,6.13744 ,145.20918 ,6.13744 ,145.20918 ,6.13744 ,145.20918 ,1 
5.94806 ,146.11517 ,5.94806 ,146.11517 ,-0.00824 ,0.00000 ,5.94806 ,146.11517 ,5.94806 ,146.11517 ,5.94806 ,146.11517 ,1 
5.30441 ,148.84749 ,5.30441 ,148.84749 ,-0.00756 ,0.00000 ,5.30441 ,148.84749 ,5.30441 ,148.84749 ,5.30441 ,148.84749 ,1 
5.10762 ,149.60576 ,5.10762 ,149.60576 ,-0.00734 ,0.00000 ,5.10762 ,149.60576 ,5.10762 ,149.60576 ,5.10762 ,149.60576 ,1 
4.91091 ,150.33535 ,4.91091 ,150.33535 ,-0.00712 ,0.00000 ,4.91091 ,150.33535 ,4.91091 ,150.33535 ,4.91091 ,150.33535 ,1 
4.24977 ,152.62349 ,4.24977 ,152.62349 ,-0.00632 ,0.00000 ,4.24977 ,152.62349 ,4.24977 ,152.62349 ,4.24977 ,152.62349 ,1 
4.05946 ,153.24628 ,4.05946 ,153.24628 ,-0.00608 ,0.00000 ,4.05946 ,153.24628 ,4.05946 ,153.24628 ,4.05946 ,153.24628 ,1 
3.87352 ,153.84086 ,3.87352 ,153.84086 ,-0.00584 ,0.00000 ,3.87352 ,153.84086 ,3.87352 ,153.84086 ,3.87352 ,153.84086 ,1 
3.29102 ,155.62958 ,3.29102 ,155.62958 ,-0.00506 ,0.00000 ,3.29101 ,155.62958 ,3.29102 ,155.62958 ,3.29102 ,155.62958 ,1 
3.12920 ,156.11075 ,3.12920 ,156.11075 ,-0.00483 ,0.00000 ,3.12919 ,156.11075 ,3.12920 ,156.11075 ,3.12920 ,156.11075 ,1 
2.97318 ,156.56808 ,2.97318 ,156.56808 ,-0.00462 ,0.00000 ,2.97317 ,156.56808 ,2.97318 ,156.56808 ,2.97318 ,156.56808 ,1 
2.49570 ,157.93304 ,2.49570 ,157.93304 ,-0.00393 ,0.00000 ,2.49570 ,157.93304 ,2.49570 ,157.93304 ,2.49570 ,157.93304 ,1 
2.08385 ,159.07595 ,2.08385 ,159.07595 ,-0.00332 ,0.00000 ,2.08385 ,159.07595 ,2.08385 ,159.07595 ,2.08385 ,159.07595 ,1 
1.97266 ,159.37996 ,1.97266 ,159.37996 ,-0.00315 ,0.00000 ,1.97266 ,159.37996 ,1.97266 ,159.37996 ,1.97266 ,159.37996 ,1 
1.86668 ,159.66768 ,1.86668 ,159.66768 ,-0.00299 ,0.00000 ,1.86668 ,159.66768 ,1.86668 ,159.66768 ,1.86668 ,159.66768 ,1 
1.54878 ,160.51983 ,1.54878 ,160.51983 ,-0.00250 ,0.00000 ,1.54878 ,160.51983 ,1.54878 ,160.51983 ,1.54877 ,160.51983 ,1 
1.46374 ,160.74559 ,1.46374 ,160.74559 ,-0.00237 ,0.00000 ,1.46374 ,160.74559 ,1.46374 ,160.74559 ,1.46374 ,160.74559 ,1 
1.38301 ,160.95892 ,1.38301 ,160.95892 ,-0.00224 ,0.00000 ,1.38301 ,160.95892 ,1.38301 ,160.95892 ,1.38301 ,160.95892 ,1 
1.14255 ,161.58896 ,1.14255 ,161.58896 ,-0.00186 ,0.00000 ,1.14255 ,161.58896 ,1.14255 ,161.58896 ,1.14255 ,161.58896 ,1 
1.12301 ,161.63990 ,1.12301 ,161.63990 ,-0.00183 ,0.00000 ,1.12301 ,161.63990 ,1.12301 ,161.63990 ,1.12301 ,161.63990 ,1 
1.10378 ,161.68997 ,1.10378 ,161.68997 ,-0.00180 ,0.00000 ,1.10378 ,161.68997 ,1.10378 ,161.68997 ,1.10378 ,161.68997 ,1 
1.01217 ,161.92777 ,1.01217 ,161.92777 ,-0.00166 ,0.00000 ,1.01217 ,161.92777 ,1.01217 ,161.92777 ,1.01217 ,161.92777 ,1 
0.83366 ,162.38821 ,0.83366 ,162.38821 ,-0.00137 ,0.00000 ,0.83366 ,162.38821 ,0.83366 ,162.38821 ,0.83366 ,162.38821 ,1 
0.78638 ,162.50960 ,0.78638 ,162.50960 ,-0.00129 ,0.00000 ,0.78638 ,162.50960 ,0.78638 ,162.50960 ,0.78638 ,162.50960 ,1 
0.74169 ,162.62411 ,0.74169 ,162.62411 ,-0.00122 ,0.00000 ,0.74169 ,162.62411 ,0.74169 ,162.62411 ,0.74169 ,162.62411 ,1 
0.60960 ,162.96116 ,0.60960 ,162.96116 ,-0.00101 ,0.00000 ,0.60960 ,162.96116 ,0.60960 ,162.96116 ,0.60960 ,162.96116 ,1 
0.50059 ,163.23805 ,0.50059 ,163.23805 ,-0.00083 ,0.00000 ,0.50059 ,163.23805 ,0.50059 ,163.23805 ,0.50059 ,163.23805 ,1 
0.47180 ,163.31092 ,0.47180 ,163.31092 ,-0.00078 ,0.00000 ,0.47180 ,163.31092 ,0.47180 ,163.31092 ,0.47180 ,163.31092 ,1 
0.44465 ,163.37959 ,0.44465 ,163.37959 ,-0.00074 ,0.00000 ,0.44465 ,163.37959 ,0.44465 ,163.37959 ,0.44465 ,163.37959 ,1 
0.36467 ,163.58145 ,0.36467 ,163.58145 ,-0.00060 ,0.00000 ,0.36467 ,163.58145 ,0.36467 ,163.58145 ,0.36467 ,163.58145 ,1 
0.35822 ,163.59770 ,0.35822 ,163.59770 ,-0.00059 ,0.00000 ,0.35822 ,163.59770 ,0.35822 ,163.59770 ,0.35822 ,163.59770 ,1 
0.35188 ,163.61366 ,0.35188 ,163.61366 ,-0.00058 ,0.00000 ,0.35188 ,163.61366 ,0.35188 ,163.61366 ,0.35188 ,163.61366 ,1 
0.34565 ,163.62935 ,0.34565 ,163.62935 ,-0.00057 ,0.00000 ,0.34565 ,163.62935 ,0.34565 ,163.62935 ,0.34565 ,163.62935 ,1 
0.32231 ,163.68810 ,0.32231 ,163.68810 ,-0.00053 ,0.00000 ,0.32231 ,163.68810 ,0.32231 ,163.68810 ,0.32231 ,163.68810 ,1 
0.30366 ,163.73501 ,0.30366 ,163.73501 ,-0.00050 ,0.00000 ,0.30366 ,163.73501 ,0.30366 ,163.73501 ,0.30366 ,163.73501 ,1 
0.28607 ,163.77920 ,0.28607 ,163.77920 ,-0.00047 ,0.00000 ,0.28607 ,163.77920 ,0.28607 ,163.77920 ,0.28607 ,163.77920 ,1 
0.23435 ,163.90900 ,0.23435 ,163.90900 ,-0.00039 ,0.00000 ,0.23435 ,163.90900 ,0.23435 ,163.90900 ,0.23435 ,163.90900 ,1 
0.19192 ,164.01531 ,0.19192 ,164.01531 ,-0.00032 ,0.00000 ,0.19192 ,164.01531 ,0.19192 ,164.01531 ,0.19192 ,164.01531 ,1 
0.19089 ,164.01789 ,0.19089 ,164.01789 ,-0.00032 ,0.00000 ,0.19089 ,164.01789 ,0.19089 ,164.01789 ,0.19089 ,164.01789 ,1 
0.18986 ,164.02046 ,0.18986 ,164.02046 ,-0.00032 ,0.00000 ,0.18986 ,164.02046 ,0.18986 ,164.02046 ,0.18986 ,164.02046 ,1 
0.18481 ,164.03310 ,0.18481 ,164.03310 ,-0.00031 ,0.00000 ,0.18481 ,164.03310 ,0.18481 ,164.03310 ,0.18481 ,164.03310 ,1 
0.17990 ,164.04540 ,0.17990 ,164.04540 ,-0.00030 ,0.00000 ,0.17990 ,164.04540 ,0.17990 ,164.04540 ,0.17990 ,164.04540 ,1 
0.15719 ,164.10219 ,0.15719 ,164.10219 ,-0.00026 ,0.00000 ,0.15719 ,164.10219 ,0.15719 ,164.10219 ,0.15719 ,164.10219 ,1 
0.14804 ,164.12506 ,0.14804 ,164.12506 ,-0.00025 ,0.00000 ,0.14804 ,164.12506 ,0.14804 ,164.12506 ,0.14804 ,164.12506 ,1 
0.13942 ,164.14660 ,0.13942 ,164.14660 ,-0.00023 ,0.00000 ,0.13942 ,164.14660 ,0.13942 ,164.14660 ,0.13942 ,164.14660 ,1 
