I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
8.22748,0.80823,8.22748,0.80823,8.22748,0.80823,8.21981,0.80822,8.22748,0.80823,8.22748,0.80823,2 ,,,,
8.22748,0.80848,8.22748,0.80848,8.22748,0.80848,8.21981,0.80847,8.2248,0.80848,8.22748,0.80848,2 ,,,,
8.22748,0.80874,8.22748,0.80874,8.22748,0.80874,8.21981,0.80873,8.22748,0.80874,8.22748,0.80874,2 ,,,,
8.22747,0.81001,8.22747,0.81001,8.22747,0.81001,8.21979,0.81,8.22747,0.81001,8.22747,0.81001,2 ,,,,
8.22742,0.81638,8.22742,0.81638,8.22742,0.81638,8.21969,0.81637,8.22742,0.81638,8.22742,0.81638,2 ,,,,
8.22716,0.84823,8.22716,0.84823,8.22716,0.84823,8.2192,0.84822,8.22716,0.84823,8.22716,0.84823,2 ,,,,
8.22637,0.94933,8.22637,0.94933,8.22637,0.94933,8.2177,0.94933,8.22637,0.94933,8.22637,0.94933,2 ,,,,
8.22518,1.10722,8.22518,1.10722,8.22518,1.10722,8.21547,1.10721,8.22518,1.10722,8.22518,1.10722,2 ,,,,
8.22369,1.31811,8.22369,1.31811,8.22369,1.31811,8.21268,1.3181,8.22369,1.31811,8.22369,1.31811,2 ,,,,
8.22194,1.58298,8.22194,1.58298,8.22194,1.58298,8.20948,1.58297,8.22194,1.58298,8.22194,1.58298,2 ,,,,
8.22,1.90615,8.22,1.90615,8.22,1.90615,8.20598,1.90614,8.22,1.90615,8.22,1.90615,2 ,,,,
8.2179,2.29486,8.2179,2.29486,8.2179,2.29486,8.20229,2.29484,8.2179,2.29486,8.2179,2.29486,2 ,,,,
8.21602,2.68346,8.21602,2.68346,8.21602,2.68346,8.19908,2.68345,8.21602,2.68346,8.21602,2.68346,2 ,,,,
8.2138,3.20254,8.2138,3.20254,8.2138,3.20254,8.19543,3.20252,8.2138,3.20254,8.2138,3.20254,2 ,,,,
8.21186,3.72148,8.21186,3.72148,8.21186,3.72148,8.19237,3.72146,8.21186,3.72148,8.21186,3.72148,2 ,,,,
8.20975,4.37158,8.20975,4.37158,8.20975,4.37158,8.1892,4.37156,8.20975,4.37158,8.20975,4.37158,2 ,,,,
8.2079,5.02152,8.2079,5.02152,8.2079,5.02152,8.1866,5.02149,8.2079,5.02152,8.2079,5.02152,2 ,,,,
8.20588,5.83843,8.20588,5.83843,8.20588,5.83843,8.18395,5.83841,8.20588,5.83843,8.20588,5.83843,2 ,,,,
8.20411,6.65516,8.20411,6.65516,8.20411,6.65516,8.18179,6.65513,8.20411,6.65516,8.20411,6.65516,2 ,,,,
8.20208,7.70546,8.20208,7.70546,8.20208,7.70546,8.1795,7.70544,8.20208,7.70546,8.20208,7.70546,2 ,,,,
8.20024,8.75552,8.20024,8.75552,8.20024,8.75552,8.17758,8.7555,8.20024,8.75552,8.20024,8.75552,2 ,,,,
8.19798,10.17101,8.19798,10.17101,8.19798,10.17101,8.17534,10.17099,8.19798,10.17101,8.19798,10.17101,2 ,,,,
8.19543,11.87813,8.19543,11.87813,8.19543,11.87813,8.17292,11.87811,8.19543,11.87813,8.19543,11.87813,2 ,,,,
8.19242,13.99711,8.19242,13.99711,8.19242,13.99711,8.1701,13.99709,8.19242,13.99711,8.19242,13.99711,2 ,,,,
8.1895,16.11533,8.1895,16.11533,8.1895,16.11533,8.16736,16.11531,8.1895,16.11533,8.1895,16.11533,2 ,,,,
8.18579,18.85565,8.18579,18.85565,8.18579,18.85565,8.16383,18.85563,8.18579,18.85565,8.18579,18.85565,2 ,,,,
8.18211,21.59475,8.18211,21.59475,8.18211,21.59475,8.16028,21.59473,8.18211,21.59475,8.18211,21.59475,2 ,,,,
8.17714,25.32484,8.17714,25.32484,8.17714,25.32484,8.15542,25.32481,8.17714,25.32484,8.17714,25.32484,2 ,,,,
8.17111,29.86282,8.17111,29.86282,8.17111,29.86282,8.14947,29.8628,8.17111,29.86282,8.17111,29.86282,2 ,,,,
8.16509,34.39746,8.16509,34.39746,8.16509,34.39746,8.14349,34.39744,8.16509,34.39746,8.16509,34.39746,2 ,,,,
8.15909,38.92877,8.15909,38.92877,8.15909,38.92877,8.13752,38.92875,8.15909,38.92877,8.15909,38.92877,2 ,,,,
8.15309,43.45674,8.15309,43.45674,8.15309,43.45674,8.13154,43.45672,8.15309,43.45674,8.15309,43.45674,2 ,,,,
8.14709,47.98139,8.14709,47.98139,8.14709,47.98139,8.12555,47.98137,8.14709,47.98139,8.14709,47.98139,2 ,,,,
8.1411,52.50271,8.1411,52.50271,8.1411,52.50271,8.11957,52.50269,8.1411,52.50271,8.1411,52.50271,2 ,,,,
8.13512,57.0207,8.13512,57.0207,8.13512,57.0207,8.11357,57.02068,8.13512,57.0207,8.13512,57.0207,2 ,,,,
8.12913,61.53537,8.12913,61.53537,8.12913,61.53537,8.10755,61.53535,8.12913,61.53537,8.12913,61.53537,2 ,,,,
8.12315,66.04671,8.12315,66.04671,8.12315,66.04671,8.10147,66.04669,8.12315,66.04671,8.12315,66.04671,2 ,,,,
