I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
3.112,155.796,3.112,155.796,1.964,63.038,3.112,155.796,3.112,155.796,3.112,155.796,4 ,,,,
2.739,156.938,2.739,156.938,1.964,63.038,2.739,156.938,2.739,156.938,2.739,156.938,4 ,,,,
1.964,63.038,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,4 ,,,,
1.964,63.038,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,4 ,,,,
1.964,63.038,2.659,157.177,2.659,157.177,2.659,157.177,1.964,63.038,2.659,157.177,4 ,,,,
1.964,63.038,2.6333,157.254,2.6333,157.254,2.6333,157.254,1.964,63.038,2.6333,157.254,4 ,,,,
1.964,63.038,2.608,157.328,2.608,157.328,2.608,157.328,1.964,63.038,2.608,157.328,4 ,,,,
2.584,157.402,2.584,157.402,1.964,63.038,2.584,157.402,2.584,157.402,2.584,157.402,4 ,,,,
2.559,157.473,2.559,157.473,1.964,63.038,2.559,157.473,2.559,157.473,2.559,157.473,4 ,,,,
2.536,157.544,2.536,157.544,1.964,63.038,2.536,157.544,2.536,157.544,2.536,157.544,4 ,,,,
2.512,157.613,2.512,157.613,1.964,63.038,2.512,157.613,2.512,157.613,2.512,157.613,4 ,,,,
2.49,157.68,2.49,157.68,0.49,47.68,2.49,157.68,2.49,157.68,2.49,157.68,4 ,,,,
2.467,157.746,0.49,47.68,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,4 ,,,,
2.445,157.811,0.49,47.68,2.445,157.811,2.445,157.811,2.445,157.811,0.49,47.68,4 ,,,,
2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,0.49,47.68,4 ,,,,
8.1 ,97.7 ,4.1 ,57.7 ,8.1 ,97.7 ,8.1 ,97.7 ,8.1 ,97.7 ,8.1 ,97.7 ,4 ,,,,
8.1 ,102.5 ,8.1 ,102.5 ,8.1 ,102.5 ,4.1 ,57.7 ,4.1 ,57.7 ,8.1 ,102.5 ,4 ,,,,
8.1 ,107.1 ,8.1 ,107.1 ,8.1 ,107.1 ,8.1 ,107.1 ,8.1 ,107.1 ,4.1 ,57.7 ,4 ,,,,
8.0 ,111.7 ,8.0 ,111.7 ,8.0 ,111.7 ,4.1 ,57.7 ,8.0 ,111.7 ,8.0 ,111.7 ,4 ,,,,
8.0 ,116.1 ,8.0 ,116.1 ,4.1 ,57.7 ,8.0 ,116.1 ,8.0 ,116.1 ,8.0 ,116.1 ,4 ,,,,
8.0 ,120.2 ,4.1 ,57.7 ,8.0 ,120.2 ,8.0 ,120.2 ,8.0 ,120.2 ,8.0 ,120.2 ,4 ,,,,
4.1 ,57.7 ,7.8 ,124.0 ,7.8 ,124.0 ,7.8 ,124.0 ,7.8 ,124.0 ,7.8 ,124.0 ,4 ,,,,
7.8 ,127.2 ,7.8 ,127.2 ,3.1 ,57.7 ,7.8 ,127.2 ,7.8 ,127.2 ,7.8 ,127.2 ,4 ,,,,
5.6 ,146.5 ,5.6 ,146.5 ,5.6 ,146.5 ,5.6 ,146.5 ,3.1 ,57.7 ,5.6 ,146.5 ,4 ,,,,
5.5 ,147.0 ,5.5 ,147.0 ,5.5 ,147.0 ,5.5 ,147.0 ,5.5 ,147.0 ,5.5 ,147.0 ,4 ,,,,
5.4 ,147.5 ,5.4 ,147.5 ,5.4 ,147.5 ,5.4 ,147.5 ,5.4 ,147.5 ,5.4 ,147.5 ,4 ,,,,
5.3 ,147.9 ,5.3 ,147.9 ,2.3 ,57.9 ,5.3 ,147.9 ,5.3 ,147.9 ,5.3 ,147.9 ,4 ,,,,
5.2 ,148.3 ,2.3 ,57.9 ,5.2 ,148.3 ,5.2 ,148.3 ,5.2 ,148.3 ,5.2 ,148.3 ,4 ,,,,
2.3 ,57.9 ,5.1 ,148.7 ,5.1 ,148.7 ,5.1 ,148.7 ,5.1 ,148.7 ,5.1 ,148.7 ,4 ,,,,1
5.0 ,149.1 ,2.3 ,57.9 ,5.0 ,149.1 ,5.0 ,149.1 ,5.0 ,149.1 ,5.0 ,149.1 ,4 ,,,,
5.0 ,149.4 ,5.0 ,149.4 ,5.0 ,149.4 ,2.3 ,57.9 ,5.0 ,149.4 ,5.0 ,149.4 ,4 ,,,,
4.9 ,149.8 ,4.9 ,149.8 ,4.9 ,149.8 ,4.9 ,149.8 ,4.9 ,149.8 ,2.3 ,57.9 ,4 ,,,,
4.8 ,150.1 ,4.8 ,150.1 ,4.8 ,150.1 ,4.8 ,150.1 ,1.8 ,50.1 ,4.8 ,150.1 ,4 ,,,,
4.7 ,150.3 ,4.7 ,150.3 ,1.8 ,50.1 ,4.7 ,150.3 ,4.7 ,150.3 ,4.7 ,150.3 ,4 ,,,,
4.6 ,150.7 ,4.6 ,150.7 ,4.6 ,150.7 ,1.8 ,50.1 ,4.6 ,150.7 ,4.6 ,150.7 ,4 ,,,,
4.1 ,152.6 ,1.8 ,50.1 ,4.1 ,152.6 ,4.1 ,152.6 ,4.1 ,152.6 ,4.1 ,152.6 ,4 ,,,,
1.8 ,50.1 ,4.0 ,152.8 ,4.0 ,152.8 ,4.0 ,152.8 ,4.0 ,152.8 ,4.0 ,152.8 ,4 ,,,,
2.0 ,63.0 ,4.0 ,153.0 ,4.0 ,153.0 ,4.0 ,153.0 ,4.0 ,153.0 ,4.0 ,153.0 ,4 ,,,,
3.9 ,153.2 ,2.0 ,63.0 ,3.9 ,153.2 ,3.9 ,153.2 ,3.9 ,153.2 ,3.9 ,153.2 ,4 ,,,,
3.9 ,153.4 ,3.9 ,153.4 ,3.9 ,153.4 ,2.0 ,63.0 ,3.9 ,153.4 ,3.9 ,153.4 ,4 ,,,,
3.8 ,153.6 ,3.8 ,153.6 ,2.0 ,63.0 ,3.8 ,153.6 ,3.8 ,153.6 ,3.8 ,153.6 ,4 ,,,,
3.7 ,153.8 ,3.7 ,153.8 ,3.7 ,153.8 ,3.7 ,153.8 ,2.0 ,63.0 ,3.7 ,153.8 ,4 ,,,,
3.7 ,153.9 ,3.7 ,153.9 ,3.7 ,153.9 ,2.0 ,63.0 ,3.7 ,153.9 ,3.7 ,153.9 ,4 ,,,,
3.6 ,154.1 ,3.6 ,154.1 ,3.6 ,154.1 ,3.6 ,154.1 ,3.6 ,154.1 ,2.0 ,63.0 ,4 ,,,,
3.6 ,154.2 ,3.6 ,154.2 ,3.6 ,154.2 ,3.6 ,154.2 ,2.0 ,63.0 ,3.6 ,154.2 ,4 ,,,,
3.6 ,154.4 ,3.6 ,154.4 ,3.6 ,154.4 ,2.0 ,63.0 ,3.6 ,154.4 ,3.6 ,154.4 ,4 ,,,,
3.5 ,154.5 ,3.5 ,154.5 ,2.0 ,63.0 ,3.5 ,154.5 ,3.5 ,154.5 ,3.5 ,154.5 ,4 ,,,,
3.5 ,154.7 ,3.5 ,154.7 ,2.0 ,63.0 ,3.5 ,154.7 ,3.5 ,154.7 ,3.5 ,154.7 ,4 ,,,,
3.4 ,154.8 ,3.4 ,154.8 ,2.0 ,63.0 ,3.4 ,154.8 ,3.4 ,154.8 ,3.4 ,154.8 ,4 ,,,,
2.0 ,63.0 ,3.4 ,155.0 ,3.4 ,155.0 ,3.4 ,155.0 ,3.4 ,155.0 ,3.4 ,155.0 ,4 ,,,,
2.0 ,63.0 ,3.3 ,155.1 ,2.0 ,63.0 ,3.3 ,155.1 ,3.3 ,155.1 ,3.3 ,155.1 ,4 ,,,,
2.0 ,63.0 ,3.3 ,155.2 ,2.0 ,63.0 ,3.3 ,155.2 ,3.3 ,155.2 ,3.3 ,155.2 ,4 ,,,,
3.3 ,155.3 ,3.3 ,155.3 ,2.0 ,63.0 ,3.3 ,155.3 ,2.0 ,63.0 ,3.3 ,155.3 ,4 ,,,,
3.2 ,155.5 ,3.2 ,155.5 ,3.2 ,155.5 ,3.2 ,155.5 ,2.0 ,63.0 ,3.2 ,155.5 ,4 ,,,,
3.2 ,155.6 ,3.2 ,155.6 ,3.2 ,155.6 ,3.2 ,155.6 ,2.0 ,63.0 ,3.2 ,155.6 ,4 ,,,,
3.1 ,155.7 ,3.1 ,155.7 ,2.0 ,63.0 ,3.1 ,155.7 ,3.1 ,155.7 ,3.1 ,155.7 ,4 ,,,,
3.1 ,155.8 ,3.1 ,155.8 ,2.0 ,63.0 ,3.1 ,155.8 ,3.1 ,155.8 ,3.1 ,155.8 ,4 ,,,,
2.7 ,156.9 ,2.7 ,156.9 ,2.0 ,63.0 ,2.7 ,156.9 ,2.7 ,156.9 ,2.7 ,156.9 ,4 ,,,,
2.0 ,63.0 ,2.7 ,157.0 ,2.7 ,157.0 ,2.7 ,157.0 ,2.7 ,157.0 ,2.7 ,157.0 ,4 ,,,,
2.0 ,63.0 ,2.7 ,157.1 ,2.7 ,157.1 ,2.7 ,157.1 ,2.7 ,157.1 ,2.7 ,157.1 ,4 ,,,,
2.0 ,63.0 ,2.7 ,157.2 ,2.7 ,157.2 ,2.7 ,157.2 ,2.0 ,63.0 ,2.7 ,157.2 ,4 ,,,,
2.0 ,63.0 ,2.6 ,157.3 ,2.6 ,157.3 ,2.6 ,157.3 ,2.0 ,63.0 ,2.6 ,157.3 ,4 ,,,,
2.0 ,63.0 ,2.6 ,157.3 ,2.6 ,157.3 ,2.6 ,157.3 ,2.0 ,63.0 ,2.6 ,157.3 ,4 ,,,,
2.6 ,157.4 ,2.6 ,157.4 ,2.0 ,63.0 ,2.6 ,157.4 ,2.6 ,157.4 ,2.6 ,157.4 ,4 ,,,,
2.6 ,157.5 ,2.6 ,157.5 ,2.0 ,63.0 ,2.6 ,157.5 ,2.6 ,157.5 ,2.6 ,157.5 ,4 ,,,,
2.5 ,157.5 ,2.5 ,157.5 ,2.0 ,63.0 ,2.5 ,157.5 ,2.5 ,157.5 ,2.5 ,157.5 ,4 ,,,,
2.5 ,157.6 ,2.5 ,157.6 ,2.0 ,63.0 ,2.5 ,157.6 ,2.5 ,157.6 ,2.5 ,157.6 ,4 ,,,,
2.5 ,157.7 ,2.5 ,157.7 ,0.5 ,47.7 ,2.5 ,157.7 ,2.5 ,157.7 ,2.5 ,157.7 ,4 ,,,,
2.5 ,157.7 ,0.5 ,47.7 ,2.5 ,157.7 ,2.5 ,157.7 ,2.5 ,157.7 ,2.5 ,157.7 ,4 ,,,,
2.4 ,157.8 ,0.5 ,47.7 ,2.4 ,157.8 ,2.4 ,157.8 ,2.4 ,157.8 ,0.5 ,47.7 ,4 ,,,,
2.4 ,157.9 ,2.4 ,157.9 ,2.4 ,157.9 ,2.4 ,157.9 ,2.4 ,157.9 ,0.5 ,47.7 ,4 ,,,,
8.08 ,97.74 ,8.08 ,97.74 ,8.08 ,97.74 ,8.08 ,97.74 ,0.00 ,97.74 ,8.08 ,97.74 ,3 ,,,,
8.07 ,102.46 ,8.07 ,102.46 ,8.07 ,102.46 ,8.07 ,102.46 ,0.00 ,102.46 ,8.07 ,102.46 ,3 ,,,,
8.06 ,107.13 ,8.06 ,107.13 ,8.06 ,107.13 ,8.06 ,107.13 ,0.00 ,107.13 ,8.06 ,107.13 ,3 ,,,,
8.04 ,111.71 ,8.04 ,111.71 ,8.04 ,111.71 ,8.04 ,111.71 ,0.00 ,111.71 ,8.04 ,111.71 ,3 ,,,,
8.01 ,116.12 ,8.01 ,116.12 ,8.01 ,116.12 ,8.01 ,116.12 ,0.00 ,116.12 ,8.01 ,116.12 ,3 ,,,,
7.96 ,120.24 ,7.96 ,120.24 ,7.96 ,120.24 ,7.96 ,120.24 ,0.00 ,120.24 ,7.96 ,120.24 ,3 ,,,,
7.85 ,123.97 ,7.85 ,123.97 ,0.00 ,123.97 ,0.00 ,123.97 ,7.85 ,123.97 ,7.85 ,123.97 ,3 ,,,,
7.80 ,127.22 ,7.80 ,127.22 ,0.00 ,127.22 ,0.00 ,127.22 ,7.80 ,127.22 ,7.80 ,127.22 ,3 ,,,,
5.65 ,146.51 ,5.65 ,146.51 ,0.00 ,146.51 ,0.00 ,146.51 ,5.65 ,146.51 ,5.65 ,146.51 ,3 ,,,,
5.54 ,147.01 ,5.54 ,147.01 ,5.54 ,147.01 ,0.00 ,147.01 ,5.54 ,147.01 ,5.54 ,147.01 ,3 ,,,,
0.00 ,147.47 ,5.43 ,147.47 ,5.43 ,147.47 ,0.00 ,147.47 ,5.43 ,147.47 ,5.43 ,147.47 ,3 ,,,,
0.00 ,147.91 ,5.33 ,147.91 ,5.33 ,147.91 ,0.00 ,147.91 ,5.33 ,147.91 ,5.33 ,147.91 ,3 ,,,,
0.00 ,148.32 ,5.23 ,148.32 ,5.23 ,148.32 ,5.23 ,148.32 ,5.23 ,148.32 ,5.23 ,148.32 ,3 ,,,,
0.00 ,148.70 ,0.00 ,148.70 ,5.14 ,148.70 ,5.14 ,148.70 ,5.14 ,148.70 ,5.14 ,148.70 ,3 ,,,,
0.00 ,149.08 ,0.00 ,149.08 ,5.04 ,149.08 ,5.04 ,149.08 ,5.04 ,149.08 ,5.04 ,149.08 ,3 ,,,,
4.95 ,149.44 ,0.00 ,149.44 ,4.95 ,149.44 ,4.95 ,149.44 ,0.00 ,149.44 ,4.95 ,149.44 ,3 ,,,,
4.87 ,149.77 ,0.00 ,149.77 ,4.87 ,149.77 ,4.87 ,149.77 ,0.00 ,149.77 ,4.87 ,149.77 ,3 ,,,,
4.78 ,150.09 ,0.00 ,150.09 ,4.78 ,150.09 ,4.78 ,150.09 ,0.00 ,150.09 ,4.78 ,150.09 ,3 ,,,,
4.70 ,150.34 ,0.00 ,150.34 ,4.70 ,150.34 ,4.70 ,150.34 ,0.00 ,150.34 ,0.00 ,150.34 ,3 ,,,,
4.63 ,150.69 ,0.00 ,0.00 ,4.63 ,150.69 ,4.63 ,150.69 ,0.00 ,150.69 ,0.00 ,150.69 ,3 ,,,,
4.08 ,152.64 ,4.08 ,0.00 ,4.08 ,152.64 ,0.00 ,152.64 ,0.00 ,152.64 ,0.00 ,152.64 ,3 ,,,,
4.02 ,152.84 ,4.02 ,0.00 ,4.02 ,152.84 ,0.00 ,152.84 ,4.02 ,152.84 ,0.00 ,152.84 ,3 ,,,,
3.96 ,153.04 ,3.96 ,153.04 ,3.96 ,153.04 ,0.00 ,153.04 ,3.96 ,153.04 ,0.00 ,153.04 ,3 ,,,,
3.91 ,153.23 ,3.91 ,153.23 ,3.91 ,153.23 ,0.00 ,153.23 ,3.91 ,153.23 ,0.00 ,153.23 ,3 ,,,,
0.00 ,153.41 ,3.85 ,153.41 ,3.85 ,153.41 ,0.00 ,153.41 ,3.85 ,153.41 ,0.00 ,153.41 ,3 ,,,,
0.00 ,153.59 ,3.80 ,153.59 ,3.80 ,153.59 ,3.80 ,153.59 ,0.00 ,153.59 ,0.00 ,153.59 ,3 ,,,,
0.00 ,153.76 ,3.75 ,153.76 ,3.75 ,153.76 ,3.75 ,153.76 ,0.00 ,153.76 ,3.75 ,153.76 ,3 ,,,,
0.00 ,153.93 ,3.70 ,153.93 ,3.70 ,153.93 ,3.70 ,153.93 ,0.00 ,153.93 ,3.70 ,153.93 ,3 ,,,,
0.00 ,154.09 ,3.65 ,154.09 ,0.00 ,154.09 ,3.65 ,154.09 ,0.00 ,154.09 ,3.65 ,154.09 ,3 ,,,,
0.00 ,154.24 ,3.60 ,154.24 ,0.00 ,154.24 ,0.00 ,154.24 ,3.60 ,154.24 ,3.60 ,154.24 ,3 ,,,,
0.00 ,154.39 ,3.56 ,154.39 ,0.00 ,154.39 ,0.00 ,154.39 ,3.56 ,154.39 ,3.56 ,154.39 ,3 ,,,,
3.51 ,154.54 ,3.51 ,154.54 ,0.00 ,154.54 ,0.00 ,154.54 ,3.51 ,154.54 ,3.51 ,154.54 ,3 ,,,,
3.47 ,154.68 ,3.47 ,154.68 ,0.00 ,154.68 ,0.00 ,154.68 ,3.47 ,154.68 ,3.47 ,154.68 ,3 ,,,,
3.42 ,154.82 ,3.42 ,154.82 ,0.00 ,154.82 ,0.00 ,154.82 ,3.42 ,154.82 ,0.00 ,154.82 ,3 ,,,,
3.38 ,154.97 ,3.38 ,154.97 ,0.00 ,154.97 ,0.00 ,154.97 ,3.38 ,154.97 ,0.00 ,154.97 ,3 ,,,,
3.34 ,155.09 ,3.34 ,155.09 ,0.00 ,155.09 ,3.34 ,155.09 ,3.34 ,155.09 ,0.00 ,155.09 ,3 ,,,,
3.30 ,155.21 ,3.30 ,155.21 ,3.30 ,155.21 ,3.30 ,155.21 ,3.30 ,155.21 ,0.00 ,155.21 ,3 ,,,,
3.26 ,155.34 ,3.26 ,155.34 ,3.26 ,155.34 ,3.26 ,155.34 ,3.26 ,155.34 ,0.00 ,155.34 ,3 ,,,,
3.22 ,155.55 ,3.22 ,155.55 ,3.22 ,155.55 ,3.22 ,155.55 ,0.00 ,155.55 ,0.00 ,155.55 ,3 ,,,,
0.00 ,155.57 ,3.18 ,155.57 ,3.18 ,155.57 ,3.18 ,155.57 ,0.00 ,155.57 ,0.00 ,155.57 ,3 ,,,,
0.00 ,155.69 ,0.00 ,155.69 ,3.14 ,155.69 ,3.14 ,155.69 ,0.00 ,155.69 ,3.14 ,155.69 ,3 ,,,,
0.00 ,155.80 ,0.00 ,155.80 ,3.11 ,155.80 ,3.11 ,155.80 ,0.00 ,155.80 ,3.11 ,155.80 ,3 ,,,,
2.74 ,156.94 ,0.00 ,156.94 ,2.74 ,156.94 ,2.74 ,156.94 ,0.00 ,156.94 ,2.74 ,156.94 ,3 ,,,,
2.71 ,157.02 ,0.00 ,157.02 ,2.71 ,157.02 ,2.71 ,157.02 ,2.71 ,157.02 ,2.71 ,157.02 ,3 ,,,,
8.23 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,8.22 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,2 ,,,,
8.23 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,8.22 ,0.81 ,8.22 ,0.81 ,8.23 ,0.81 ,2 ,,,,
8.23 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,8.22 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,2 ,,,,
8.23 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,8.22 ,0.81 ,8.23 ,0.81 ,8.23 ,0.81 ,2 ,,,,
8.23 ,0.82 ,8.23 ,0.82 ,8.23 ,0.82 ,8.22 ,0.82 ,8.23 ,0.82 ,8.23 ,0.82 ,2 ,,,,
8.23 ,0.85 ,8.23 ,0.85 ,8.23 ,0.85 ,8.22 ,0.85 ,8.23 ,0.85 ,8.23 ,0.85 ,2 ,,,,
8.23 ,0.95 ,8.23 ,0.95 ,8.23 ,0.95 ,8.22 ,0.95 ,8.23 ,0.95 ,8.23 ,0.95 ,2 ,,,,
8.23 ,1.11 ,8.23 ,1.11 ,8.23 ,1.11 ,8.22 ,1.11 ,8.23 ,1.11 ,8.23 ,1.11 ,2 ,,,,
8.22 ,1.32 ,8.22 ,1.32 ,8.22 ,1.32 ,8.21 ,1.32 ,8.22 ,1.32 ,8.22 ,1.32 ,2 ,,,,
8.22 ,1.58 ,8.22 ,1.58 ,8.22 ,1.58 ,8.21 ,1.58 ,8.22 ,1.58 ,8.22 ,1.58 ,2 ,,,,
8.22 ,1.91 ,8.22 ,1.91 ,8.22 ,1.91 ,8.21 ,1.91 ,8.22 ,1.91 ,8.22 ,1.91 ,2 ,,,,
8.22 ,2.29 ,8.22 ,2.29 ,8.22 ,2.29 ,8.20 ,2.29 ,8.22 ,2.29 ,8.22 ,2.29 ,2 ,,,,
8.22 ,2.68 ,8.22 ,2.68 ,8.22 ,2.68 ,8.20 ,2.68 ,8.22 ,2.68 ,8.22 ,2.68 ,2 ,,,,
8.21 ,3.20 ,8.21 ,3.20 ,8.21 ,3.20 ,8.20 ,3.20 ,8.21 ,3.20 ,8.21 ,3.20 ,2 ,,,,
8.21 ,3.72 ,8.21 ,3.72 ,8.21 ,3.72 ,8.19 ,3.72 ,8.21 ,3.72 ,8.21 ,3.72 ,2 ,,,,
8.21 ,4.37 ,8.21 ,4.37 ,8.21 ,4.37 ,8.19 ,4.37 ,8.21 ,4.37 ,8.21 ,4.37 ,2 ,,,,
8.21 ,5.02 ,8.21 ,5.02 ,8.21 ,5.02 ,8.19 ,5.02 ,8.21 ,5.02 ,8.21 ,5.02 ,2 ,,,,
8.21 ,5.84 ,8.21 ,5.84 ,8.21 ,5.84 ,8.18 ,5.84 ,8.21 ,5.84 ,8.21 ,5.84 ,2 ,,,,
8.20 ,6.66 ,8.20 ,6.66 ,8.20 ,6.66 ,8.18 ,6.66 ,8.20 ,6.66 ,8.20 ,6.66 ,2 ,,,,
8.20 ,7.71 ,8.20 ,7.71 ,8.20 ,7.71 ,8.18 ,7.71 ,8.20 ,7.71 ,8.20 ,7.71 ,2 ,,,,
8.20 ,8.76 ,8.20 ,8.76 ,8.20 ,8.76 ,8.18 ,8.76 ,8.20 ,8.76 ,8.20 ,8.76 ,2 ,,,,
8.20 ,10.17 ,8.20 ,10.17 ,8.20 ,10.17 ,8.18 ,10.17 ,8.20 ,10.17 ,8.20 ,10.17 ,2 ,,,,
8.20 ,11.88 ,8.20 ,11.88 ,8.20 ,11.88 ,8.17 ,11.88 ,8.20 ,11.88 ,8.20 ,11.88 ,2 ,,,,
8.19 ,14.00 ,8.19 ,14.00 ,8.19 ,14.00 ,8.17 ,14.00 ,8.19 ,14.00 ,8.19 ,14.00 ,2 ,,,,
8.19 ,16.12 ,8.19 ,16.12 ,8.19 ,16.12 ,8.17 ,16.12 ,8.19 ,16.12 ,8.19 ,16.12 ,2 ,,,,
8.19 ,18.86 ,8.19 ,18.86 ,8.19 ,18.86 ,8.16 ,18.86 ,8.19 ,18.86 ,8.19 ,18.86 ,2 ,,,,
8.18 ,21.59 ,8.18 ,21.59 ,8.18 ,21.59 ,8.16 ,21.59 ,8.18 ,21.59 ,8.18 ,21.59 ,2 ,,,,
8.18 ,25.32 ,8.18 ,25.32 ,8.18 ,25.32 ,8.16 ,25.32 ,8.18 ,25.32 ,8.18 ,25.32 ,2 ,,,,
8.17 ,29.86 ,8.17 ,29.86 ,8.17 ,29.86 ,8.15 ,29.86 ,8.17 ,29.86 ,8.17 ,29.86 ,2 ,,,,
8.17 ,34.40 ,8.17 ,34.40 ,8.17 ,34.40 ,8.14 ,34.40 ,8.17 ,34.40 ,8.17 ,34.40 ,2 ,,,,
8.16 ,38.93 ,8.16 ,38.93 ,8.16 ,38.93 ,8.14 ,38.93 ,8.16 ,38.93 ,8.16 ,38.93 ,2 ,,,,
8.15 ,43.46 ,8.15 ,43.46 ,8.15 ,43.46 ,8.13 ,43.46 ,8.15 ,43.46 ,8.15 ,43.46 ,2 ,,,,
8.15 ,47.98 ,8.15 ,47.98 ,8.15 ,47.98 ,8.13 ,47.98 ,8.15 ,47.98 ,8.15 ,47.98 ,2 ,,,,
8.14 ,52.50 ,8.14 ,52.50 ,8.14 ,52.50 ,8.12 ,52.50 ,8.14 ,52.50 ,8.14 ,52.50 ,2 ,,,,
8.14 ,57.02 ,8.14 ,57.02 ,8.14 ,57.02 ,8.11 ,57.02 ,8.14 ,57.02 ,8.14 ,57.02 ,2 ,,,,
8.13 ,61.54 ,8.13 ,61.54 ,8.13 ,61.54 ,8.11 ,61.54 ,8.13 ,61.54 ,8.13 ,61.54 ,2 ,,,,
8.12 ,66.05 ,8.12 ,66.05 ,8.12 ,66.05 ,8.10 ,66.05 ,8.12 ,66.05 ,8.12 ,66.05 ,2 ,,,,
8.12 ,70.55 ,8.12 ,70.55 ,8.12 ,70.55 ,8.10 ,70.55 ,8.12 ,70.55 ,8.12 ,70.55 ,2 ,,,,
8.11 ,75.06 ,8.11 ,75.06 ,8.11 ,75.06 ,8.09 ,75.06 ,8.11 ,75.06 ,8.11 ,75.06 ,2 ,,,,
8.11 ,79.56 ,8.11 ,79.56 ,8.11 ,79.56 ,8.08 ,79.56 ,8.11 ,79.56 ,8.11 ,79.56 ,2 ,,,,
8.10 ,84.06 ,8.10 ,84.06 ,8.10 ,84.06 ,8.07 ,84.06 ,8.10 ,84.06 ,8.10 ,84.06 ,2 ,,,,
8.09 ,88.55 ,8.09 ,88.55 ,8.09 ,88.55 ,8.07 ,88.55 ,8.09 ,88.55 ,8.09 ,88.55 ,2 ,,,,
8.09 ,93.04 ,8.09 ,93.04 ,8.09 ,93.04 ,8.05 ,93.04 ,8.09 ,93.04 ,8.09 ,93.04 ,2 ,,,,
8.08 ,97.53 ,8.08 ,97.53 ,8.08 ,97.53 ,8.04 ,97.53 ,8.08 ,97.53 ,8.08 ,97.53 ,2 ,,,,
8.07 ,102.01 ,8.07 ,102.01 ,8.07 ,102.01 ,8.01 ,102.01 ,8.07 ,102.01 ,8.07 ,102.01 ,2 ,,,,
8.06 ,106.48 ,8.06 ,106.48 ,8.06 ,106.48 ,7.96 ,106.48 ,8.06 ,106.48 ,8.06 ,106.48 ,2 ,,,,
8.05 ,110.94 ,8.05 ,110.94 ,8.05 ,110.94 ,7.88 ,110.94 ,8.05 ,110.94 ,8.05 ,110.94 ,2 ,,,,
8.03 ,115.39 ,8.03 ,115.39 ,8.03 ,115.39 ,7.74 ,115.39 ,8.03 ,115.39 ,8.03 ,115.39 ,2 ,,,,
7.99 ,119.80 ,7.99 ,119.80 ,7.99 ,119.80 ,7.52 ,119.80 ,7.99 ,119.80 ,7.99 ,119.80 ,2 ,,,,
7.98 ,121.12 ,7.98 ,121.12 ,7.98 ,121.12 ,7.43 ,121.12 ,7.98 ,121.12 ,7.98 ,121.12 ,2 ,,,,
7.96 ,122.43 ,7.96 ,122.43 ,7.96 ,122.43 ,7.33 ,122.43 ,7.96 ,122.43 ,7.96 ,122.43 ,2 ,,,,
7.87 ,127.10 ,7.87 ,127.10 ,7.87 ,127.10 ,6.89 ,127.10 ,7.87 ,127.10 ,7.87 ,127.10 ,2 ,,,,
7.71 ,131.66 ,7.71 ,131.66 ,7.71 ,131.66 ,6.32 ,131.66 ,7.71 ,131.66 ,7.71 ,131.66 ,2 ,,,,
7.64 ,133.00 ,7.64 ,133.00 ,7.64 ,133.00 ,6.13 ,132.99 ,7.64 ,133.00 ,7.64 ,133.00 ,2 ,,,,
7.56 ,134.32 ,7.56 ,134.32 ,7.56 ,134.32 ,5.94 ,134.32 ,7.56 ,134.32 ,7.56 ,134.32 ,2 ,,,,
7.20 ,138.52 ,7.20 ,138.52 ,7.20 ,138.52 ,5.26 ,138.51 ,7.20 ,138.52 ,7.20 ,138.52 ,2 ,,,,
6.68 ,142.43 ,6.68 ,142.43 ,6.68 ,142.43 ,4.57 ,142.43 ,6.68 ,142.43 ,6.68 ,142.43 ,2 ,,,,
6.01 ,145.98 ,6.01 ,145.98 ,6.01 ,145.98 ,3.90 ,145.98 ,6.01 ,145.98 ,6.01 ,145.98 ,2 ,,,,
5.26 ,149.12 ,5.26 ,149.12 ,5.26 ,149.12 ,3.28 ,149.11 ,5.26 ,149.12 ,5.26 ,149.12 ,2 ,,,,
4.51 ,151.82 ,4.51 ,151.82 ,4.51 ,151.82 ,2.73 ,151.82 ,4.51 ,151.82 ,4.51 ,151.82 ,2 ,,,,
3.80 ,154.12 ,3.80 ,154.12 ,3.80 ,154.12 ,2.25 ,154.12 ,3.80 ,154.12 ,3.80 ,154.12 ,2 ,,,,
3.17 ,156.04 ,3.17 ,156.04 ,3.17 ,156.04 ,1.85 ,156.04 ,3.17 ,156.04 ,3.17 ,156.04 ,2 ,,,,
2.61 ,157.63 ,2.61 ,157.63 ,2.61 ,157.63 ,1.51 ,157.63 ,2.61 ,157.63 ,2.61 ,157.63 ,2 ,,,,
